rank,name,points,players
#1,Vitality,(1000 HLTV points),"['', '', '', '', '']"
#2,Spirit,(645 HLTV points),"['chopper', 'sh1ro', 'magixx', 'zont1x', 'donk']"
#3,MOUZ,(582 HLTV points),"['Brollan', 'torzsi', 'Spinx', 'Jimpphat', 'xertioN']"
#4,Natus Vincere,(431 HLTV points),"['Aleksib', 'iM', 'b1t', 'jL', 'w0nderful']"
#5,Aurora,(413 HLTV points),"['MAJ3R', 'XANTARES', 'woxic', 'Wicadia', 'jottAAA']"
#6,The MongolZ,(407 HLTV points),"['bLitz', 'Techno', 'Senzu', 'mzinho', '910']"
#7,G2,(338 HLTV points),"['Snax', 'huNter-', 'malbsMd', 'hades', 'HeavyGod']"
#8,Falcons,(331 HLTV points),"['NiKo', 'Magisk', 'TeSeS', 'm0NESY', 'kyxsan']"
#9,FaZe,(269 HLTV points),"['karrigan', 'rain', 'EliGE', 'frozen', 'broky']"
#10,Liquid,(199 HLTV points),"['NAF', 'NertZ', 'Twistzz', 'siuhy', 'ultimate']"
#11,GamerLegion,(198 HLTV points),"['REZ', 'ztr', 'Tauson', 'sl3nd', 'PR']"
#12,Virtus.pro,(186 HLTV points),"['electroNic', 'FL1T', 'fame', 'FL4MUS', 'ICY']"
#13,3DMAX,(168 HLTV points),"['bodyy', 'Maka', 'Lucky', 'Ex3rcice', 'Graviti']"
#14,Complexity,(129 HLTV points),"['JT', 'hallzerk', 'Grim', 'Cxzi', 'nicx']"
#15,Astralis,(92 HLTV points),"['device', 'stavn', 'jabbi', 'Staehr']"
#16,paiN,(78 HLTV points),"['dgt', 'biguzera', 'dav1deuS', 'nqz', 'snow']"
#17,FURIA,(68 HLTV points),"['FalleN', 'yuurih', 'YEKINDAR', 'KSCERATO', 'molodoy']"
#18,MIBR,(68 HLTV points),"['exit', 'Lucaozy', 'saffee', 'brnz4n', 'insani']"
#19,SAW,(58 HLTV points),"['MUTiRiS', 'story', 'Ag1l', 'AZUWU', 'cej0t']"
#20,M80,(55 HLTV points),"['slaxz-', 'Swisher', 'reck', 's1n', 'Lake']"
#21,FlyQuest,(53 HLTV points),"['Liazz', 'INS', 'Vexite', 'nettik', 'regali']"
#22,HEROIC,(46 HLTV points),"['SunPayus', 'xfl0ud', 'LNZ', 'tN1R', 'yxngstxr']"
#23,BIG,(44 HLTV points),"['tabseN', 'JDC', 'Krimbo', 'kyuubii', 'hyped']"
#24,Betclic,(42 HLTV points),"['Demho', 'Prism', 'jcobbb', 'hfah', 'hypex']"
#25,BetBoom,(39 HLTV points),"['Boombl4', 'zorte', 'Ax1Le', 'S1ren', 'Magnojez']"
#26,TYLOO,(35 HLTV points),"['Attacker', 'JamYoung', 'Jee', 'Mercury', 'Moseyuh']"
#27,OG,(33 HLTV points),"['nicoodoz', 'F1KU', 'spooke', 'Buzz', 'Chr1zN']"
